,country,fully_vaxed,%_fully_vaxed,covid_cases,gdp_rank,gdp,region,population,covid%
99,Jamaica,508031.0,17.09,90961.0,121.0,16717000000.0,North America,2972679.9297834993,3.0598988841232124
100,Japan,97330657.0,77.22,1726186.0,3.0,5495420000000.0,Asia,126043326.85832685,1.369517961026401
102,Jordan,3739571.0,36.42,932539.0,93.0,46451000000.0,Asia,10267904.997254256,9.082076628575845
103,Kazakhstan,8058293.0,42.42,1050700.0,56.0,177322000000.0,Asia,18996447.43045733,5.531034178082132
104,Kenya,2709473.0,4.93,254862.0,61.0,109116000000.0,Africa,54958884.381338745,0.46373212060057434
105,Kiribati,15190.0,12.51,2.0,188.0,196000000.0,Oceania,121422.8617106315,0.0016471362738643843
108,Kyrgyzstan,891186.0,13.45,183066.0,143.0,8781000000.0,Asia,6625918.215613384,2.762877446458988
109,Laos,3099003.0,42.0,67322.0,113.0,22013000000.0,Asia,7378578.571428572,0.9123979550842641
110,Latvia,1184767.0,63.46,250132.0,97.0,38102000000.0,Europe,1866950.8351717617,13.397888968885866
111,Lebanon,1679868.0,24.82,663779.0,82.0,60620000000.0,Asia,6768203.0620467365,9.807315086661571
112,Lesotho,572287.0,26.51,21735.0,163.0,2892000000.0,Africa,2158758.95888344,1.006828479416796
113,Liberia,456623.0,8.81,5821.0,160.0,3217000000.0,Africa,5183007.945516458,0.11230930110835417
114,Libya,630306.0,9.06,370187.0,89.0,50424000000.0,Africa,6957019.867549669,5.32105710559633
115,Liechtenstein,24980.0,65.3,4432.0,201.0,0.0,Europe,38254.2113323124,11.585652522017616
116,Lithuania,1779091.0,66.14,462431.0,84.0,57602000000.0,Europe,2689886.6041729664,17.19146819358875
119,Madagascar,425211.0,1.5,44072.0,133.0,13542000000.0,Africa,28347400.0,0.15547104849121965
120,Malawi,599981.0,3.05,61872.0,146.0,7861000000.0,Africa,19671508.19672131,0.31452595998873295
121,Malaysia,25157551.0,76.76,2608979.0,35.0,401985000000.0,Asia,32774297.81136008,7.960442097086479
122,Maldives,363150.0,66.8,91122.0,148.0,6213000000.0,Asia,543637.7245508983,16.761529946303177
123,Mali,312488.0,1.5,17144.0,117.0,19332000000.0,Africa,20832533.333333336,0.08229436010342797
124,Malta,432125.0,83.73,39011.0,122.0,16338000000.0,Europe,516093.39543771645,7.55890316459358
125,Mauritania,673813.0,14.11,38950.0,151.0,5697000000.0,Africa,4775428.773919206,0.8156335659893769
126,Mauritius,914936.0,71.85,18979.0,125.0,15757000000.0,Africa,1273397.3556019487,1.4904224448486012
127,Mexico,64971111.0,49.88,3876391.0,15.0,1297750000000.0,North America,130254833.60064153,2.9760054908096003
128,Moldova,934281.0,23.22,361116.0,134.0,12793000000.0,Europe,4023604.651162791,8.974937433170533
129,Monaco,23308.0,58.98,3669.0,202.0,0.0,Europe,39518.48084096304,9.284263772095416
130,Mongolia,2150479.0,64.59,380130.0,126.0,14960000000.0,Asia,3329430.2523610466,11.41726875733267
131,Montenegro,254909.0,40.59,156004.0,150.0,5740000000.0,Europe,628009.3619118009,24.841030956145136
133,Morocco,22692532.0,60.76,949378.0,59.0,129056000000.0,Africa,37347814.35154707,2.541990787101237
134,Mozambique,3449256.0,10.72,151512.0,123.0,16294000000.0,Africa,32175895.52238806,0.4708866607755412
136,Namibia,294586.0,11.39,129133.0,127.0,14627000000.0,Africa,2586356.4530289727,4.9928539373901
138,Nepal,7990190.0,26.93,820285.0,101.0,33035000000.0,Asia,29670219.086520612,2.76467456343341
141,New Zealand,3604193.0,70.36,10967.0,52.0,224943000000.0,Oceania,5122502.842524162,0.21409456152875275
142,Nicaragua,2190695.0,32.69,17152.0,136.0,12459000000.0,North America,6701422.453349649,0.2559456610801594
143,Niger,456958.0,1.82,6921.0,141.0,10628000000.0,Africa,25107582.417582415,0.027565377999728642
144,Nigeria,3456204.0,1.63,213883.0,27.0,496122000000.0,Africa,212037055.21472394,0.10087057650532201
146,North Macedonia,789905.0,37.93,213779.0,131.0,13700000000.0,Europe,2082533.6145531244,10.265332502009734
149,Norway,3823208.0,69.95,254367.0,31.0,438623000000.0,Europe,5465629.735525375,4.653937648697115
150,Oman,2828176.0,54.14,304519.0,69.0,84158000000.0,Asia,5223819.726634651,5.829431640746544
151,Pakistan,50184100.0,22.28,1283475.0,207.0,0.0,Asia,225242818.67145422,0.569818388692833
153,Panama,2427941.0,55.41,476813.0,70.0,75494000000.0,North America,4381774.048005776,10.881734082500357
154,Papua New Guinea,181283.0,1.99,34846.0,112.0,22114000000.0,Oceania,9109698.492462311,0.3825154040919447
155,Paraguay,2612265.0,36.18,462533.0,94.0,45376000000.0,South America,7220190.713101161,6.406105023801184
156,Peru,18018583.0,54.01,2229741.0,50.0,244163000000.0,South America,33361568.228105906,6.683561710152236
157,Philippines,35678774.0,32.13,2829618.0,37.0,389048000000.0,Asia,111045048.24151883,2.548171255548187
159,Poland,20418316.0,54.02,3434272.0,21.0,643274000000.0,Europe,37797697.149204,9.085929194160771
162,Romania,7393228.0,38.65,1771887.0,46.0,263133000000.0,Europe,19128662.35446313,9.262994804164027
163,Russia,56353454.0,38.62,9303751.0,12.0,1667460000000.0, Asia,145917799.06784052,6.376022020229673
164,Rwanda,3004325.0,22.63,100303.0,140.0,11062000000.0,Africa,13275850.640742376,0.7555297412896408
166,Saint Kitts and Nevis,24875.0,46.46,2774.0,177.0,1118000000.0,North America,53540.68015497202,5.181107135678392
167,Saint Lucia,46322.0,25.12,12927.0,169.0,2069000000.0,North America,184402.8662420382,7.010194723889297
